data(decimal): 390, data(binary): 0110000110, data_error: 0, frame_error: 0
data(decimal): 391, data(binary): 0110000111, data_error: 0, frame_error: 0
data(decimal): 392, data(binary): 0110001000, data_error: 0, frame_error: 0
data(decimal): 393, data(binary): 0110001001, data_error: 0, frame_error: 0
data(decimal): 394, data(binary): 0110001010, data_error: 0, frame_error: 0
data(decimal): 395, data(binary): 0110001011, data_error: 0, frame_error: 0
data(decimal): 396, data(binary): 0110001100, data_error: 0, frame_error: 0
data(decimal): 397, data(binary): 0110001101, data_error: 0, frame_error: 0
data(decimal): 398, data(binary): 0110001110, data_error: 0, frame_error: 0
data(decimal): 399, data(binary): 0110001111, data_error: 0, frame_error: 0
